"state","demographic_group","high_adi_predicted","low_adi_predicted","high_adi_observed","low_adi_observed","absolute_disparity_predicted","relative_disparity_predicted","absolute_disparity_observed","high_adi_mean_staternk","low_adi_mean_staternk","sample_size_high","sample_size_low"
"TX","General_Population",0.985936327713162,0.986697618113086,0.989822826534816,0.98616781934839,0.000761290399924119,0.00077214965969441,-0.00365500718642542,7.87521225614128,1.85502980907103,26501,26502
"TX","Older_American",0.985253896764763,0.98729403799703,0.976430976430976,0.982164090368609,0.00204014123226681,0.00207067562885666,0.00573311393763243,7.87521225614128,1.85502980907103,26501,26502
"TX","Servicemember",0.984111450494654,0.984620983343951,0.979841172877214,0.975286317058469,0.000509532849297001,0.000517759293463094,-0.00455485581874537,7.87521225614128,1.85502980907103,26501,26502
"NJ","General_Population",0.985766084502338,0.986616868458908,0.988864987979249,0.985086240435741,0.000850783956569345,0.000863068805008416,-0.00377874754350771,9.28235715137779,2.61438454198476,8383,8384
"NJ","Older_American",0.984747095045841,0.987065476894261,0.98,0.979879275653924,0.00231838184842048,0.00235429163496303,-0.000120724346076462,9.28235715137779,2.61438454198476,8383,8384
"NJ","Servicemember",0.984005460440953,0.984572552123483,0.982142857142857,0.971590909090909,0.000567091682529997,0.000576309487424931,-0.010551948051948,9.28235715137779,2.61438454198476,8383,8384
"NY","General_Population",0.987873664194304,0.988538431706364,0.988784323836535,0.988394705476444,0.000664767512060016,0.000672927658823763,-0.000389618360091326,7.81359789903708,1.72630718954249,17135,17136
"NY","Older_American",0.987296171982201,0.989075100534643,0.982210927573062,0.984732824427481,0.00177892855244177,0.00180181854536143,0.00252189685441861,7.81359789903708,1.72630718954249,17135,17136
"NY","Servicemember",0.986293453402553,0.986738785275164,0.97841726618705,0.982885085574572,0.000445331872611421,0.000451520661599369,0.00446781938752183,7.81359789903708,1.72630718954249,17135,17136
"VA","General_Population",0.984980561255371,0.985862615477287,0.985597439544808,0.983930550424824,0.000882054221916007,0.000895504192277574,-0.00166688911998358,8.33038813505839,1.77737456610918,6338,6338
"VA","Older_American",0.984141303491926,0.986512198875677,0.978378378378378,0.984905660377358,0.00237089538375113,0.00240910057868593,0.00652728199898012,8.33038813505839,1.77737456610918,6338,6338
"VA","Servicemember",0.983063170896584,0.983652952940765,0.988657844990548,0.992412746585736,0.000589782044181697,0.000599943179280915,0.00375490159518777,8.33038813505839,1.77737456610918,6338,6338
"CA","General_Population",0.982590872136543,0.983631187375787,0.985144562840579,0.98362415177953,0.00104031523924364,0.00105874710293374,-0.00152041106104928,8.85845454832297,2.17129425127789,31693,31694
"CA","Older_American",0.981470342807166,0.984286271188932,0.979094076655052,0.978337236533958,0.00281592838176636,0.00286909166680704,-0.000756840121094671,8.85845454832297,2.17129425127789,31693,31694
"CA","Servicemember",0.980413794964652,0.981107741416895,0.978662053056517,0.978221415607985,0.000693946452243521,0.000707809759315392,-0.000440637448531178,8.85845454832297,2.17129425127789,31693,31694
"NM","General_Population",0.982009250619864,0.982890526162224,0.970227670753065,0.978181818181818,0.000881275542360505,0.000897420815337835,0.00795414742875356,7.54692082111437,2.09237536656891,682,682
"NM","Older_American",0.981235080220395,0.983594768984419,0.973684210526316,0.974358974358974,0.00235968876402448,0.00240481492314193,0.00067476383265852,7.54692082111437,2.09237536656891,682,682
"NM","Servicemember",0.979659987041164,0.980249274957585,0.986301369863014,0.981481481481482,0.000589287916421433,0.000601522900002482,-0.00481988838153213,7.54692082111437,2.09237536656891,682,682
"FL","General_Population",0.98552149090866,0.986220621213091,0.989974395037687,0.988487144591167,0.000699130304430584,0.000709401378742092,-0.00148725044652043,7.89939165509483,2.54311313892748,30246,30246
"FL","Older_American",0.98481356165026,0.986697033730544,0.971340839303992,0.981331673926571,0.00188347208028428,0.00191251639257306,0.00999083462257933,7.89939165509483,2.54311313892748,30246,30246
"FL","Servicemember",0.983645184489387,0.984112436868014,0.980519480519481,0.977272727272727,0.000467252378627103,0.000475021263759423,-0.00324675324675361,7.89939165509483,2.54311313892748,30246,30246
"OH","General_Population",0.985122101192909,0.98601485862275,0.989296887864318,0.979205409974642,0.00089275742984174,0.000906240382548162,-0.0100914778896763,8.76519504082249,2.06606198034768,6614,6615
"OH","Older_American",0.98418468187238,0.986597720789784,0.96875,0.980830670926518,0.00241303891740396,0.00245181515405557,0.0120806709265175,8.76519504082249,2.06606198034768,6614,6615
"OH","Servicemember",0.983250223425041,0.983846376691474,0.993690851735016,0.968992248062015,0.000596153266432253,0.00060630880342516,-0.0246986036730004,8.76519504082249,2.06606198034768,6614,6615
"CT","General_Population",0.988200715322416,0.988923247802627,0.985641025641026,0.987926509186352,0.000722532480210702,0.000731159640959156,0.00228548354532598,9.08185734801341,2.26172248803828,2089,2090
"CT","Older_American",0.987393041665415,0.989353882283887,0.983333333333333,0.992063492063492,0.00196084061847168,0.00198587648051918,0.00873015873015881,9.08185734801341,2.26172248803828,2089,2090
"CT","Servicemember",0.986727020101249,0.987209445419755,0.987341772151899,0.983050847457627,0.000482425318506507,0.000488914673135277,-0.00429092469427161,9.08185734801341,2.26172248803828,2089,2090
"CO","General_Population",0.981032847221603,0.982078524925753,0.981156316916488,0.97718011409943,0.00104567770415032,0.00106589469161178,-0.00397620281705868,8.50087504375219,2.33659902029391,2857,2858
"CO","Older_American",0.979924875464177,0.982750703758317,0.966666666666667,0.989528795811518,0.0028258282941408,0.00288371931858777,0.0228621291448516,8.50087504375219,2.33659902029391,2857,2858
"CO","Servicemember",0.978636233888519,0.979333708901813,0.967741935483871,0.971830985915493,0.00069747501329398,0.000712700990563864,0.004089050431622,8.50087504375219,2.33659902029391,2857,2858
"AZ","General_Population",0.983225645935764,0.984125688696299,0.968947368421053,0.977604166666666,0.000900042760535014,0.000915397970196796,0.00865679824561394,7.69917641959254,1.71738188123104,2307,2307
